,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3
0,Artikel1,,,,,,In deze beleidsregel wordt verstaan onder:,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
1,Artikel1,Onderdeel_1,,,,,"verordening (EU) nr. 1407/2013 van de Commissie van 18december 2013 betreffende de toepassing van de artikelen 107 en 108 van het Verdrag betreffende de werking van de Europese Unie op de-minimissteun (PbEU 2013, L 352);algemene de-minimisverordening:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
2,Artikel1,Onderdeel_2,,,,,"onderneming die op 15maart 2020 stond ingeschreven in het handelsregister onder de code 47.81.1, 47.81.9, 47.82, 47.89.1, 47.89.2, 47.89.9, 49.39.1, 49.32, 50.10, 50.30, 85.53 of 93.21.2 van de Standaard Bedrijfsindeling;ambulante onderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
3,Artikel1,Onderdeel_3,,,,,"gedupeerde onderneming die op 15maart 2020 stond ingeschreven in het handelsregister met een hoofd- of nevenactiviteit die in de tabellen 1a, 1b of 1c van  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling, en zoals in voorkomend geval nader geclausuleerd;bijlage 1direct gedupeerde onderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
4,Artikel1,Onderdeel_4,,,,,"in Nederland gevestigde onderneming als bedoeld in , niet zijnde een overheidsbedrijf:artikel 5 van de Handelsregisterwet 2007gedupeerde onderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
5,Artikel1,Onderdeel_4,Onderdeela,,,,"die op 15maart 2020 in het handelsregister stond ingeschreven met een hoofd- of nevenactiviteit die in  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling, en zoals in voorkomend geval nader geclausuleerd;bijlage 1",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=a&z=2020-06-25&g=2020-06-25
6,Artikel1,Onderdeel_4,Onderdeelb,,,,"waar ten hoogste 250 personen werkzaam zijn, blijkend uit de inschrijving in het handelsregister op 15maart 2020; en",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=b&z=2020-06-25&g=2020-06-25
7,Artikel1,Onderdeel_4,Onderdeelc,,,,die:,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&z=2020-06-25&g=2020-06-25
8,Artikel1,Onderdeel_4,Onderdeelc,Onderdeel1,,,"voor zover het een onderneming, niet zijnde een horecaonderneming of een ambulante onderneming, betreft:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&o=1&z=2020-06-25&g=2020-06-25
9,Artikel1,Onderdeel_4,Onderdeelc,Onderdeel1,Onderdeel._1,,ten minste n vestiging heeft met een ander adres dan het privadres van de eigenaar of eigenaren van de onderneming; of,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&o=1&z=2020-06-25&g=2020-06-25
10,Artikel1,Onderdeel_4,Onderdeelc,Onderdeel1,Onderdeel._2,,een vestiging heeft die fysiek afgescheiden is van de privwoning van de eigenaar of eigenaren van de onderneming en voorzien is van een eigen opgang of toegang; of,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&o=1&z=2020-06-25&g=2020-06-25
11,Artikel1,Onderdeel_4,Onderdeelc,Onderdeel2,,,"voor zover het een horecaonderneming betreft ten minste n horecagelegenheid huurt, pacht of in eigendom heeft;",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&o=2&z=2020-06-25&g=2020-06-25
12,Artikel1,Onderdeel_5,,,,,"gedupeerde onderneming die op 15maart 2020 stond ingeschreven in het handelsregister met een hoofd- of nevenactiviteit die in tabel 2 van  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling;bijlage 1gedupeerde onderneming in de toeleveringsketen:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
13,Artikel1,Onderdeel_6,,,,,"gedupeerde onderneming die op 15maart 2020 stond ingeschreven in het handelsregister onder de code 88.10.2, 88.99.3 of 88.99.9 van de Standaard Bedrijfsindeling, en een dorpshuis, gemeenschapshuis of wijkcentrum exploiteert;gedupeerde onderneming met een dorpshuis, gemeenschapshuis of wijkcentrum:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
14,Artikel1,Onderdeel_7,,,,,"gedupeerde onderneming die op 15maart 2020 alleen voor een nevenactiviteit stond ingeschreven in het handelsregister met een activiteit die in  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling, en zoals in voorkomend geval nader geclausuleerd;bijlage 1gedupeerde onderneming met geregistreerde nevenactiviteit:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
15,Artikel1,Onderdeel_8,,,,,"gedupeerde onderneming die op 15maart 2020 stond ingeschreven in het handelsregister onder de code 10.71, 10.72, 11.05, 14.13, 14.19 of 74.10.2 van de Standaard Bedrijfsindeling, en een fysieke retailwinkel exploiteert;gedupeerde vervaardigende onderneming met een retailwinkel:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
16,Artikel1,Onderdeel_9,,,,,"gedupeerde onderneming die op 15maart 2020 stond ingeschreven in het handelsregister met een hoofd- of nevenactiviteit die in tabel 3 van  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling, en zoals in voorkomend geval nader geclausuleerd;bijlage 1gedupeerde zorgonderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
17,Artikel1,Onderdeel_10,,,,,handelsregister als bedoeld in ;artikel 2 van de Handelsregisterwet 2007handelsregister:,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
18,Artikel1,Onderdeel_11,,,,,"onderneming die op 15maart 2020 stond ingeschreven in het handelsregister onder de code 56.10.1, 56.10.2 of 56.30 van de Standaard Bedrijfsindeling;horecaonderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
19,Artikel1,Onderdeel_12,,,,,Minister van Economische Zaken en Klimaat;minister:,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
20,Artikel1,Onderdeel_13,,,,,"overheidsbedrijf als bedoeld in ;artikel 25g, eerste lid, van de Mededingingswetoverheidsbedrijf:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
21,Artikel1,Onderdeel_14,,,,,"verklaring van de gedupeerde onderneming waarin deze bevestigt dat de tegemoetkoming niet zal leiden tot een overschrijding van het de-minimisplafond, bedoeld in artikel 3, tweede lid, van de algemene de-minimisverordening;verklaring de-minimissteun:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
22,Artikel1,Onderdeel_15,,,,,"vestiging als bedoeld in .artikel 1, eerste lid, onderdeel j, van de Handelsregisterwet 2007vestiging:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25
23,Artikel2,Lid1,,,,,De minister verstrekt op aanvraag een tegemoetkoming aan een gedupeerde onderneming die verwacht in de periode van 16maart 2020 tot en met 15juni 2020:,25-06-2020,jci1.3:c:BWBR0043324&artikel=2&lid=1&z=2020-06-25&g=2020-06-25
24,Artikel2,Lid1,Onderdeela,,,,"ten minste 4000, aan omzetverlies te lijden als gevolg van de maatregelen ter bestrijding van de verdere verspreiding van COVID-19;",25-06-2020,jci1.3:c:BWBR0043324&artikel=2&lid=1&o=a&z=2020-06-25&g=2020-06-25
25,Artikel2,Lid1,Onderdeelb,,,,"ten minste 4000, aan vaste lasten te hebben, ook na gebruik van andere door de overheid beschikbaar gestelde steunmaatregelen in het kader van de bestrijding van de verdere verspreiding van COVID-19.",25-06-2020,jci1.3:c:BWBR0043324&artikel=2&lid=1&o=b&z=2020-06-25&g=2020-06-25
26,Artikel2,Lid2,,,,,"Indien de gedupeerde onderneming een gedupeerde onderneming met geregistreerde nevenactiviteit is, komt deze alleen in aanmerking voor een tegemoetkoming indien het te verwachten omzetverlies, bedoeld in het eerste lid, onderdeel a, en de te verwachten vaste lasten, bedoeld in het eerste lid, onderdeel b, uitsluitend betrekking hebben op zijn nevenactiviteit die in  is opgenomen.bijlage 1",25-06-2020,jci1.3:c:BWBR0043324&artikel=2&lid=2&z=2020-06-25&g=2020-06-25
